"Population density in rings moving out from central business district, in 1-mile increments",2010 population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",463204,5624,2104,2285,1290,871,218,749,3128,2033,1676,0,161,724,338,0,400,1558,616,1268,1428,886,1387,960,469,118,88,226,733,131,573,187,10,0,0,0,0,0,25,61,0,0,0,70,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pensacola-Ferry Pass-Brent, FL Metro Area",448991,1743,2795,2898,2759,2252,2175,2259,2129,1114,1517,788,1457,351,629,813,409,0,698,819,224,531,0,1174,107,33,0,0,0,0,24,0,33,0,0,20,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Visalia-Porterville, CA Metro Area",442179,7300,3353,3004,3181,413,1692,0,2236,2541,5001,1307,170,2769,584,2653,3374,3644,137,32,0,0,4305,3288,2803,4557,121,1139,0,0,0,50,1855,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Springfield, MO Metro Area",436712,3230,5013,2361,2235,2076,1910,1249,1324,117,0,318,924,654,695,590,123,227,64,58,45,0,77,0,119,53,32,0,0,30,61,0,58,0,0,0,47,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"York-Hanover, PA Metro Area",434972,13158,5081,1312,1855,1654,1318,1500,1406,244,387,181,472,216,317,586,512,894,4350,739,493,124,73,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corpus Christi, TX Metro Area",428185,2634,5221,6487,5541,4231,4559,4350,5209,3793,1418,1679,1194,1355,1558,740,776,912,603,20,0,404,107,31,0,0,1536,1019,0,806,30,0,0,21,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flint, MI Metro Area",425790,3002,3502,3896,2714,2470,1274,950,1220,1308,637,276,811,249,354,1508,1119,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reno-Sparks, NV Metro Area",425417,6229,6037,6521,4510,4311,2978,2606,1440,2191,1877,490,241,0,126,548,46,0,0,0,156,1642,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asheville, NC Metro Area",424858,3162,2134,2040,1066,1149,490,739,490,338,586,369,678,203,149,552,374,236,955,414,840,314,655,488,259,218,427,581,150,184,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Port St. Lucie, FL Metro Area",424107,2747,2107,2650,2599,1581,1034,1615,2186,2065,2627,1470,1991,3269,1016,1330,50,1302,3294,1027,323,0,0,0,49,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santa Barbara-Santa Maria-Goleta, CA Metro Area",423895,12754,7222,2534,4063,2445,4533,4329,2759,1186,20523,4673,1066,0,28,0,0,0,0,0,0,0,0,0,0,56,0,0,26,636,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,17,6064,8048,2769,563,356,0,3272,3277,3842,1878,7268,12373,7429,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huntsville, AL Metro Area",417593,1802,2639,2470,2703,1249,1135,1064,927,1702,813,1468,887,85,106,239,280,160,0,134,0,0,376,390,1241,241,75,201,0,0,0,0,99,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fort Wayne, IN Metro Area",416257,3798,4822,3307,3220,2231,1733,1847,1349,621,500,236,42,183,0,106,107,78,53,338,0,0,0,230,656,808,60,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salinas, CA Metro Area",415057,8261,7781,14025,11837,518,348,787,4351,2344,402,9788,8914,1630,1173,3070,4181,1251,1349,0,0,7182,0,0,0,250,28,0,0,7,0,0,0,0,6149,0,0,0,0,0,0,0,0,0,2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vallejo-Fairfield, CA Metro Area",413344,7269,5476,5735,5200,1695,2419,3924,217,474,0,245,0,0,266,900,6626,6755,6502,4472,565,0,3661,4283,7158,3669,2722,50,220,0,0,38,0,1122,3601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mobile, AL Metro Area",412992,1897,3607,3748,3416,2756,2156,2162,2016,2209,2484,1417,936,971,641,637,260,316,97,176,282,72,0,127,87,0,88,0,44,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reading, PA Metro Area",411442,20595,10192,2624,3136,2072,1248,347,974,471,1522,512,176,319,120,918,3705,178,329,0,195,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brownsville-Harlingen, TX Metro Area",406220,7433,5247,5143,5296,4733,1942,650,0,291,479,0,878,0,353,0,155,208,2196,221,2179,0,2539,1723,2183,2088,1092,1124,234,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Killeen-Temple-Fort Hood, TX Metro Area",405300,4617,3410,3759,3140,2726,2353,774,14,71,1647,2160,1707,167,139,0,838,583,88,226,0,1466,2751,1134,1146,1222,0,346,228,0,33,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canton-Massillon, OH Metro Area",404422,5298,4776,3784,1965,1731,1891,1464,2050,964,2440,576,980,691,172,266,1325,2451,0,0,0,0,155,0,0,45,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manchester-Nashua, NH Metro Area",400721,11838,5482,2427,966,920,388,578,868,780,0,385,499,316,757,1273,4282,4569,953,1865,3236,254,0,58,307,120,121,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shreveport-Bossier City, LA Metro Area",398604,855,3767,3085,3240,1829,2699,1209,1645,887,1235,236,153,198,144,60,0,0,60,0,53,0,0,0,17,34,0,0,0,218,0,0,19,113,165,34,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salem, OR Metro Area",390738,2673,4353,4745,4631,3565,3757,1997,108,56,0,852,0,292,1082,158,929,3723,1386,30,0,0,177,125,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beaumont-Port Arthur, TX Metro Area",388745,932,3500,2633,3059,2072,2421,1525,1070,164,3038,1838,2346,578,1633,1796,1936,3007,340,101,403,497,732,333,0,234,44,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anchorage, AK Metro Area",380821,5118,4464,4713,6184,4798,4391,5252,1179,1982,959,158,0,0,2077,0,17,0,81,0,0,17,34,0,219,0,0,117,163,258,1080,936,445,342,228,444,0,618,26,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davenport-Moline-Rock Island, IA-IL Metro Area",379690,4697,4790,3873,2857,2492,2255,2459,2070,815,250,652,63,455,47,48,53,41,95,0,0,0,0,286,40,115,0,20,0,0,15,0,0,13,0,0,0,0,163,2389,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peoria, IL Metro Area",379186,3199,4755,4469,1760,1723,1505,288,809,1299,2721,1170,313,78,170,63,0,371,43,0,31,46,0,38,0,36,0,17,0,0,50,25,267,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Montgomery, AL Metro Area",374536,1935,3616,2283,2242,2653,3154,1968,974,1007,1490,1588,707,362,78,112,135,150,23,0,0,0,50,44,52,0,13,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tallahassee, FL Metro Area",367413,7066,5035,3976,2495,1319,1288,1196,921,1156,102,1320,103,83,87,96,101,54,0,0,181,169,107,0,0,86,59,17,0,23,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trenton-Ewing, NJ Metro Area",366513,19241,13585,3890,2957,2290,2030,747,1352,611,1275,5243,1419,2134,0,5815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fayetteville, NC Metro Area",366383,1411,1718,2303,1006,2285,2727,2738,2361,770,1641,1026,235,489,39,565,0,0,83,0,867,0,0,84,0,60,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hickory-Lenoir-Morganton, NC Metro Area",365497,1866,2025,1622,891,808,439,481,638,584,225,188,390,383,516,333,387,332,1030,886,204,485,205,270,0,194,0,246,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wilmington, NC Metro Area",362315,3183,4166,2478,2289,2396,1394,1535,1126,1020,711,1083,79,0,1442,1112,187,443,0,0,81,487,296,181,353,505,586,244,10,216,155,204,0,289,0,628,0,59,109,581,0,364,311,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evansville, IN-KY Metro Area",358676,3974,4808,3433,2880,2122,1218,525,1091,1952,1270,1381,615,58,0,0,48,364,271,972,26,29,0,32,0,0,53,1238,38,0,0,32,29,0,0,0,0,0,36,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eugene-Springfield, OR Metro Area",351715,10105,4707,4084,2966,3594,2659,79,3894,565,634,114,0,181,268,5,58,13,0,189,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,1069,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rockford, IL Metro Area",349431,5760,4800,3673,2814,1967,2231,1151,130,1179,0,303,582,1689,1256,951,421,53,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Savannah, GA Metro Area",347611,6000,6051,4580,3192,1534,975,2806,2323,1624,461,436,189,189,0,197,313,978,0,123,104,73,162,0,97,82,80,0,0,0,55,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ann Arbor, MI Metro Area",344791,12028,4780,2811,2492,4915,1452,3672,2021,1885,2197,138,636,198,2549,366,0,87,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ocala, FL Metro Area",331298,1724,2081,1371,1372,775,943,356,1284,884,431,1448,735,612,373,82,132,887,86,385,86,129,0,0,0,25,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kalamazoo-Portage, MI Metro Area",326589,5480,4410,3151,1272,1569,1306,606,545,419,0,78,260,266,91,236,0,99,201,0,0,91,0,0,0,0,0,87,0,89,0,181,0,0,0,203,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Naples-Marco Island, FL Metro Area",321520,2585,2852,2429,2993,3139,2769,3051,3061,3420,2338,890,717,937,149,650,1230,3183,0,37,0,0,0,0,0,0,0,0,0,0,1209,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Bend-Mishawaka, IN-MI Metro Area",319224,3224,4178,3580,3265,1909,981,1063,1927,811,0,342,256,87,90,353,0,0,115,137,98,0,0,56,74,137,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kingsport-Bristol-Bristol, TN-VA Metro Area",309544,1471,2223,1325,1304,475,596,370,551,0,150,140,0,46,262,263,0,31,377,243,1437,826,1331,1284,1001,0,231,0,320,64,0,33,191,265,105,0,764,0,0,68,200,102,0,169,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roanoke, VA Metro Area",308707,3525,3751,2271,2342,1981,1406,1398,2157,329,211,50,96,90,126,0,61,77,0,66,303,0,33,86,0,0,75,43,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Green Bay, WI Metro Area",306241,4168,4734,3937,2636,2020,1490,589,0,313,88,0,0,106,173,0,80,53,0,0,0,0,47,58,0,0,32,103,0,563,0,46,0,31,0,0,0,0,0,26,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charleston, WV Metro Area",304284,3401,3907,1315,1909,1087,2240,160,641,1662,1925,838,325,646,76,42,62,692,62,820,1224,341,65,106,277,0,54,0,25,0,0,23,71,0,0,29,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lincoln, NE Metro Area",302157,9367,6382,3985,4282,2705,3549,1036,383,0,26,0,32,0,45,0,0,0,0,0,0,25,669,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fort Collins-Loveland, CO Metro Area",299630,4430,5146,4010,4253,2702,2460,804,834,241,0,3501,944,3311,1386,3010,1749,3,0,0,518,14,0,0,0,0,0,287,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Utica-Rome, NY Metro Area",299397,9265,6834,2572,1340,543,1700,159,140,462,1144,121,2228,1950,2181,1087,92,107,823,1329,518,85,41,24,1367,0,20,50,89,0,0,0,91,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fort Smith, AR-OK Metro Area",298592,1075,4397,2393,1865,387,1218,984,0,196,84,107,136,0,191,32,204,47,47,0,66,517,36,96,0,580,245,33,0,0,0,0,0,12,39,0,91,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbus, GA-AL Metro Area",294865,2207,3053,2491,2234,2763,1993,1272,1600,1735,0,94,207,44,134,65,0,15,80,0,0,0,0,0,0,0,42,37,23,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boulder, CO Metro Area",294567,8450,8802,4839,1561,632,2359,483,2906,1401,2429,827,1328,1248,3052,3456,5527,3138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huntington-Ashland, WV-KY-OH Metro Area",287702,6096,3660,3245,1571,605,475,1867,1683,440,411,1198,966,2209,702,1022,368,2303,683,216,80,0,0,56,0,51,0,0,0,0,85,0,0,31,27,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lubbock, TX Metro Area",284890,5452,5056,3132,3899,4037,3799,1839,2059,153,140,291,727,0,0,0,1628,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spartanburg, SC Metro Area",284307,2900,1920,1315,1142,940,736,1000,475,322,469,348,667,81,241,256,662,1432,115,65,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erie, PA Metro Area",280566,7989,8980,4844,2972,1930,1651,1080,186,0,367,255,0,0,87,893,821,82,2816,0,55,1814,495,3162,49,44,0,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duluth, MN-WI Metro Area",279771,4645,6058,2563,1526,3020,726,779,245,645,0,369,0,66,0,31,0,600,1018,0,36,0,22,38,0,0,0,0,0,0,0,8,7,0,0,0,37,0,0,9,0,0,0,4,0,0,0,0,0,44,0,36,374,15,0,2040,816,24,29,2105,2338,0,1111,0,0,14,0,12,0,0,0,0,0,10,0,0,0,0,0,1278,0,0,0,0,0,0,0,0,0,2,0,0
"Atlantic City-Hammonton, NJ Metro Area",274549,9237,19609,7538,5889,2885,3523,2321,1672,1666,1955,1138,604,0,460,0,0,388,106,0,68,136,0,0,0,0,0,306,184,479,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norwich-New London, CT Metro Area",274055,4717,2542,588,858,0,537,420,554,346,846,1982,1917,2594,1646,2316,693,486,800,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clarksville, TN-KY Metro Area",273949,2064,1444,895,1353,1543,1402,1290,1135,377,646,1055,6886,0,0,0,0,34,0,22,0,0,0,512,725,2208,1689,37,67,0,42,0,0,63,0,28,41,0,17,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lafayette, LA Metro Area",273738,3954,2716,3386,2427,1394,1465,1114,407,534,179,0,230,156,282,77,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Luis Obispo-Paso Robles, CA Metro Area",269637,5108,1329,1674,12433,0,66,0,0,2566,1289,2831,3245,3206,1700,2644,1716,294,144,7,1479,1415,0,2740,4566,1583,16,0,0,0,46,739,471,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area",269291,2336,1567,1010,955,1476,1302,1517,1699,864,1992,917,484,482,723,929,808,327,267,571,172,313,48,81,0,124,0,55,108,0,50,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hagerstown-Martinsburg, MD-WV Metro Area",269140,7178,2726,1327,851,0,1415,170,356,0,303,467,0,69,207,145,641,303,0,2773,1137,0,0,351,0,0,65,314,0,294,0,62,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
