"Population density in rings moving out from central business district, in 1-mile increments",2010 population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
"Pittsburgh, PA Metro Area",2356285,12658,7381,9714,8171,6977,5094,4156,2529,2587,2455,2575,2095,1235,1274,900,2150,2150,2123,1348,1109,804,1600,1849,1212,1310,2245,1185,1153,632,1930,944,1252,685,1216,298,177,2905,916,253,2796,1594,700,744,693,78,160,79,62,0,39,46,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2226009,16663,8396,8028,7065,5814,5406,5028,5230,5504,5088,4174,3741,3243,4266,2321,1274,800,2174,632,1031,1897,1816,112,200,1453,644,88,57,0,60,12,0,2188,3149,28,600,80,0,0,0,67,122,0,56,0,0,32,0,33,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sacramento--Arden-Arcade--Roseville, CA Metro Area",2149127,8403,6416,5021,5641,6529,4940,6869,6305,4960,5643,5804,5988,5420,5464,5032,4886,3622,4557,3334,3505,2298,2549,1307,2529,1335,440,72,2153,755,764,533,517,1838,466,73,346,591,419,471,331,187,0,0,152,99,0,0,0,0,259,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,28,396,60,1370,2724,1626,1304,808,0,0,201
"San Antonio-New Braunfels, TX Metro Area",2142508,7316,5612,6283,6128,4896,4715,3826,3890,5376,3501,4337,4010,5171,3308,2289,2151,980,1849,1695,549,609,150,260,150,125,138,157,893,1580,470,598,352,1536,1187,788,99,61,116,40,28,29,0,16,26,267,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orlando-Kissimmee-Sanford, FL Metro Area",2134411,5231,3571,4210,4982,6087,4768,3920,3677,3071,2761,3393,2204,2382,2147,2878,3247,1519,1412,1219,2005,1739,292,1398,1540,937,528,984,1319,786,1120,104,579,574,494,0,1015,1198,0,829,737,149,590,0,1518,2233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cincinnati-Middletown, OH-KY-IN Metro Area",2130151,10611,8120,5999,4388,4417,4204,3493,3346,2881,3010,2557,1763,1784,1864,1386,1592,1588,1831,1717,1798,1440,2064,1929,505,577,593,958,333,2500,1571,4469,200,197,1837,1027,1767,535,155,0,40,49,76,56,92,56,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cleveland-Elyria-Mentor, OH Metro Area",2077240,3585,6345,6402,7882,8747,7240,6530,5692,5046,4180,3651,3004,2977,2525,2233,2465,2082,2179,1259,1584,1604,2711,3334,1933,1730,2025,2752,2820,835,539,557,618,880,330,454,230,480,277,610,1155,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kansas City, MO-KS Metro Area",2035334,4327,4102,5810,5163,3970,3094,2981,2871,3032,2348,2988,2315,2254,2377,1876,2599,2550,2538,2127,2265,1423,665,237,1268,1316,520,1122,1294,97,55,70,55,188,931,206,64,31,0,0,364,44,32,0,21,32,0,115,206,30,207,1101,309,19,19,14,16,13,0,0,394,0,0,0,0,0,0,0,17,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Las Vegas-Paradise, NV Metro Area",1951269,8677,7868,8094,9067,9070,8350,6987,5694,5725,6098,5152,6078,4749,3719,4607,3643,1952,0,0,0,0,2191,1352,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,6,1524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1413,1109,3717,519,2122,0,1939,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1836911,18153,10585,11067,9862,10175,9216,8630,7641,6926,5662,5232,7453,10060,4943,7875,5345,7633,5344,2427,2845,1645,3003,0,170,300,0,1470,7701,5146,1298,0,0,0,0,0,0,0,0,91,0,33,0,3520,4381,5540,0,921,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbus, OH Metro Area",1836536,2724,6930,10201,6759,4658,4054,4333,4056,3116,3976,2865,2643,2650,1692,1497,677,275,457,375,101,257,156,913,1210,2545,1020,902,2467,299,831,3846,1771,734,239,266,0,87,0,65,96,63,0,113,0,0,0,89,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",1758038,6204,3351,3369,2654,3224,3377,3179,3318,2268,1920,1954,1933,1552,1393,1148,1176,1221,1147,1439,1296,1374,1273,1658,1078,370,286,130,362,196,0,0,80,249,333,0,34,0,67,0,0,0,25,0,0,0,74,173,0,0,0,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indianapolis-Carmel, IN Metro Area",1756241,4840,5280,4001,3996,3950,3598,3005,3033,3184,2947,2506,1480,1761,1262,1417,1606,2682,1535,526,1203,568,1796,361,431,48,670,1750,1937,69,106,1119,77,0,56,0,0,51,303,337,0,0,30,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austin-Round Rock-San Marcos, TX Metro Area",1716289,5857,11480,6086,4599,4214,4909,4402,4413,2741,2842,2216,2309,3525,2904,1556,1821,2491,2553,3208,2036,1392,522,649,243,137,1490,327,950,1910,1312,398,532,93,0,64,0,21,52,38,426,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1671683,0,1833,0,3931,5362,6251,4920,5062,2763,3888,3553,3864,2975,5230,6136,4225,16799,3398,3720,2474,2682,3475,1151,2331,4335,4078,2746,3107,3642,2159,2004,3341,3648,1655,2208,4298,2383,3703,2301,3824,2682,71,251,828,475,58,101,541,330,1282,778,1748,404,425,800,0,288,0,275,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
